time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-01-20T06:06:00.470Z,36.6956667,-121.3273333,6.044,3.9,mw,81,38,0.05225,0.09,nc,nc51215555,2017-03-17T21:01:14.884Z,"Central California",earthquake,0.13,0.36,,4,reviewed,nc,nc
2009-01-15T14:44:07.740Z,36.6838333,-121.3256667,5.81,3.7,mw,22,54,0.06486,0.11,nc,nc71011822,2017-03-17T21:06:52.053Z,"Central California",earthquake,0.24,0.67,,4,reviewed,nc,nc
2009-01-15T14:43:53.370Z,36.6865,-121.3145,5.941,3.54,ml,80,50,0.03874,0.07,nc,nc40230187,2017-03-17T20:17:15.627Z,"Central California",earthquake,0.12,0.36,0.203,8,reviewed,nc,nc
2008-12-22T18:15:56.800Z,36.6856667,-121.3015,1.151,3.55,ml,81,34,0.02973,0.1,nc,nc51213676,2017-03-17T20:58:48.350Z,"Central California",earthquake,0.11,0.35,0.232,73,reviewed,nc,nc
2008-12-21T20:09:33.160Z,36.6778333,-121.3038333,6.181,3.6,mw,81,35,0.02703,0.07,nc,nc51213552,2017-03-17T20:57:39.063Z,"Central California",earthquake,0.11,0.31,,5,reviewed,nc,nc
2008-12-21T17:35:36.640Z,36.6748333,-121.3001667,6.761,4,mw,80,38,0.02342,0.06,nc,nc51213534,2017-03-17T20:56:49.757Z,"Central California",earthquake,0.11,0.33,,6,reviewed,nc,nc
2008-09-06T04:00:15.250Z,37.862,-122.0075,16.328,4.1,mw,176,41,,0.31,nc,nc51207740,2017-03-17T20:50:57.037Z,"San Francisco Bay area, California",earthquake,0.24,0.34,,4,reviewed,nc,nc
2008-06-19T23:57:51.680Z,36.681,-121.3086667,5.808,3.8,mw,78,31,0.03153,0.07,nc,nc40219463,2017-03-17T20:13:21.711Z,"Central California",earthquake,0.11,0.26,,5,reviewed,nc,nc
2008-06-06T09:02:53.890Z,37.8158333,-122.075,7.608,3.5,mw,166,33,0.00991,0.19,nc,nc51203888,2018-07-09T18:49:26.779Z,"San Francisco Bay area, California",earthquake,0.14,0.33,,4,reviewed,nc,nc
2008-06-04T02:29:04.150Z,38.2418333,-122.1838333,10.065,3.96,mw,114,97,0.04595,0.23,nc,nc51203773,2017-03-17T20:48:24.883Z,"Northern California",earthquake,0.26,0.45,,3,reviewed,nc,nc
2007-10-31T22:54:24.520Z,37.4351667,-121.7798333,8.548,3.69,mw,158,51,0.02252,0.12,nc,nc51189819,2017-03-17T20:43:06.403Z,"San Francisco Bay area, California",earthquake,0.11,0.3,,4,reviewed,nc,nc
2007-10-31T03:04:54.810Z,37.4335,-121.7743333,9.741,5.45,mw,156,50,0.02703,0.11,nc,nc40204628,2017-09-18T22:24:00.790Z,"San Francisco Bay area, California",earthquake,0.11,0.28,,6,reviewed,nc,nc
2007-07-20T11:42:22.360Z,37.804,-122.193,5.262,4.2,mw,150,16,0.02613,0.16,nc,nc40199209,2017-03-17T20:02:46.928Z,"San Francisco Bay area, California",earthquake,0.12,0.26,,6,reviewed,nc,nc
2007-07-02T19:58:53.170Z,36.8795,-121.6225,8.323,4.2,mw,101,55,,0.12,nc,nc51183708,2017-03-17T20:41:29.767Z,"Central California",earthquake,0.14,0.32,,8,reviewed,nc,nc
2007-05-20T23:10:19.540Z,37.364,-121.727,6.358,3.5,mw,114,35,0.03423,0.09,nc,nc51182114,2017-03-17T20:35:47.772Z,"San Francisco Bay area, California",earthquake,0.09,0.23,,5,reviewed,nc,nc
2007-03-02T04:40:00.750Z,37.8965,-122.1113333,15.981,4.23,mw,155,29,0.02793,0.2,nc,nc40194055,2017-03-17T19:57:09.245Z,"San Francisco Bay area, California",earthquake,0.17,0.27,,13,reviewed,nc,nc
2007-02-25T17:02:27.480Z,37.3055,-121.075,6.282,3.5,ml,122,62,0.1225,0.14,nc,nc40193905,2017-03-17T19:55:45.117Z,"Northern California",earthquake,0.19,0.44,0.248,18,reviewed,nc,nc
2007-01-12T11:27:50.290Z,38.3901667,-122.6156667,9.694,3.7,mw,114,27,0.03694,0.14,nc,nc51177644,2017-03-17T20:29:45.740Z,"Northern California",earthquake,0.14,0.24,,4,reviewed,nc,nc
2006-12-23T06:49:57.280Z,37.8576667,-122.2451667,9.153,3.6,mw,170,13,,0.18,nc,nc51177103,2017-03-17T20:29:14.869Z,"San Francisco Bay area, California",earthquake,0.12,0.24,,4,reviewed,nc,nc
2006-12-21T03:12:28.760Z,37.8571667,-122.2446667,8.643,3.6,mw,168,14,,0.17,nc,nc51177042,2017-03-17T20:28:40.143Z,"San Francisco Bay area, California",earthquake,0.12,0.21,,5,reviewed,nc,nc
